Reference	Degraded	Fsample	PESQ_score
g729char/exp3/original/a/a_m01s31.8k.wav	g729char/exp1/coded/a/ae1m1f31.8k.out	8000	3.499
g729char/exp3/original/a/a_m02s31.8k.wav	g729char/exp1/coded/a/ae1m4b31.8k.out	8000	3.628
g729char/exp3/original/a/a_f01s32.8k.wav	g729char/exp1/coded/a/ae1f7832.8k.out	8000	2.847
g729char/exp3/original/a/a_f02s32.8k.wav	g729char/exp1/coded/a/ae1fa432.8k.out	8000	2.925
g729char/exp3/original/a/a_m01s32.8k.wav	g729char/exp1/coded/a/ae1m2032.8k.out	8000	3.34
g729char/exp3/original/a/a_m02s32.8k.wav	g729char/exp1/coded/a/ae1m4c32.8k.out	8000	3.384
g729char/exp3/original/a/a_f01s33.8k.wav	g729char/exp1/coded/a/ae1f7933.8k.out	8000	2.789
g729char/exp3/original/a/a_f02s33.8k.wav	g729char/exp1/coded/a/ae1fa533.8k.out	8000	3.018
g729char/exp3/original/a/a_m01s33.8k.wav	g729char/exp1/coded/a/ae1m2133.8k.out	8000	3.209
g729char/exp3/original/a/a_m02s33.8k.wav	g729char/exp1/coded/a/ae1m4d33.8k.out	8000	3.43
g729char/exp3/original/a/a_f01s34.8k.wav	g729char/exp1/coded/a/ae1f7a34.8k.out	8000	2.922
g729char/exp3/original/a/a_f02s34.8k.wav	g729char/exp1/coded/a/ae1fa634.8k.out	8000	2.992
g729char/exp3/original/a/a_m01s34.8k.wav	g729char/exp1/coded/a/ae1m2234.8k.out	8000	3.213
g729char/exp3/original/a/a_m02s34.8k.wav	g729char/exp1/coded/a/ae1m4e34.8k.out	8000	3.431
g729char/exp3/original/a/a_f01s35.8k.wav	g729char/exp1/coded/a/ae1f7b35.8k.out	8000	2.908
g729char/exp3/original/a/a_f02s35.8k.wav	g729char/exp1/coded/a/ae1fa735.8k.out	8000	3.005
g729char/exp3/original/a/a_m01s35.8k.wav	g729char/exp1/coded/a/ae1m2335.8k.out	8000	3.018
g729char/exp3/original/a/a_m02s35.8k.wav	g729char/exp1/coded/a/ae1m4f35.8k.out	8000	3.271
g729char/exp3/original/a/a_f01s36.8k.wav	g729char/exp1/coded/a/ae1f7c36.8k.out	8000	2.872
g729char/exp3/original/a/a_f02s36.8k.wav	g729char/exp1/coded/a/ae1fa836.8k.out	8000	2.873
g729char/exp3/original/a/a_m01s36.8k.wav	g729char/exp1/coded/a/ae1m2436.8k.out	8000	3.06
g729char/exp3/original/a/a_m02s36.8k.wav	g729char/exp1/coded/a/ae1m5036.8k.out	8000	3.35
g729char/exp3/original/a/a_f01s37.8k.wav	g729char/exp1/coded/a/ae1f7d37.8k.out	8000	1.969
g729char/exp3/original/a/a_f02s37.8k.wav	g729char/exp1/coded/a/ae1fa937.8k.out	8000	1.763
g729char/exp3/original/a/a_m01s37.8k.wav	g729char/exp1/coded/a/ae1m2537.8k.out	8000	2.671
g729char/exp3/original/a/a_m02s37.8k.wav	g729char/exp1/coded/a/ae1m5137.8k.out	8000	2.652
g729char/exp3/original/a/a_f01s38.8k.wav	g729char/exp1/coded/a/ae1f7e38.8k.out	8000	2.213
g729char/exp3/original/a/a_f02s38.8k.wav	g729char/exp1/coded/a/ae1faa38.8k.out	8000	2.784
g729char/exp3/original/a/a_m01s38.8k.wav	g729char/exp1/coded/a/ae1m2638.8k.out	8000	3.133
g729char/exp3/original/a/a_m02s38.8k.wav	g729char/exp1/coded/a/ae1m5238.8k.out	8000	2.928
g729char/exp3/original/a/a_f01s39.8k.wav	g729char/exp1/coded/a/ae1f7f39.8k.out	8000	2.734
g729char/exp3/original/a/a_f02s39.8k.wav	g729char/exp1/coded/a/ae1fab39.8k.out	8000	2.981
g729char/exp3/original/a/a_m01s39.8k.wav	g729char/exp1/coded/a/ae1m2739.8k.out	8000	3.416
g729char/exp3/original/a/a_m02s39.8k.wav	g729char/exp1/coded/a/ae1m5339.8k.out	8000	3.458
g729char/exp3/original/a/a_f01s40.8k.wav	g729char/exp1/coded/a/ae1f8040.8k.out	8000	3.343
g729char/exp3/original/a/a_f02s40.8k.wav	g729char/exp1/coded/a/ae1fac40.8k.out	8000	3.295
g729char/exp3/original/a/a_m01s40.8k.wav	g729char/exp1/coded/a/ae1m2840.8k.out	8000	3.809
g729char/exp3/original/a/a_m02s40.8k.wav	g729char/exp1/coded/a/ae1m5440.8k.out	8000	3.809
g729char/exp3/original/a/a_f01s41.8k.wav	g729char/exp1/coded/a/ae1f8141.8k.out	8000	3.517
g729char/exp3/original/a/a_f02s41.8k.wav	g729char/exp1/coded/a/ae1fad41.8k.out	8000	3.64
g729char/exp3/original/a/a_m01s41.8k.wav	g729char/exp1/coded/a/ae1m2941.8k.out	8000	3.878
g729char/exp3/original/a/a_m02s41.8k.wav	g729char/exp1/coded/a/ae1m5541.8k.out	8000	4.075
g729char/exp3/original/a/a_f01s42.8k.wav	g729char/exp1/coded/a/ae1f8242.8k.out	8000	3.707
g729char/exp3/original/a/a_f02s42.8k.wav	g729char/exp1/coded/a/ae1fae42.8k.out	8000	3.984
g729char/exp3/original/a/a_m01s42.8k.wav	g729char/exp1/coded/a/ae1m2a42.8k.out	8000	4.212
g729char/exp3/original/a/a_m02s42.8k.wav	g729char/exp1/coded/a/ae1m5642.8k.out	8000	4.345
g729char/exp3/original/a/a_f01s43.8k.wav	g729char/exp1/coded/a/ae1f8343.8k.out	8000	3.987
g729char/exp3/original/a/a_f02s43.8k.wav	g729char/exp1/coded/a/ae1faf43.8k.out	8000	4.29
g729char/exp3/original/a/a_m01s43.8k.wav	g729char/exp1/coded/a/ae1m2b43.8k.out	8000	4.316
g729char/exp3/original/a/a_m02s43.8k.wav	g729char/exp1/coded/a/ae1m5743.8k.out	8000	4.352
g729char/exp3/original/a/a_f01s44.8k.wav	g729char/exp1/coded/a/ae1f8444.8k.out	8000	4.353
g729char/exp3/original/a/a_f02s44.8k.wav	g729char/exp1/coded/a/ae1fb044.8k.out	8000	4.352
g729char/exp3/original/a/a_m01s44.8k.wav	g729char/exp1/coded/a/ae1m2c44.8k.out	8000	4.377
g729char/exp3/original/a/a_m02s44.8k.wav	g729char/exp1/coded/a/ae1m5844.8k.out	8000	4.348
g729char/exp1/original/d/d_f01s01.8k.wav	g729char/exp1/coded/d/de1f5901.8k.out	8000	3.504
g729char/exp1/original/d/d_f02s01.8k.wav	g729char/exp1/coded/d/de1f8501.8k.out	8000	3.492
g729char/exp1/original/d/d_m01s01.8k.wav	g729char/exp1/coded/d/de1m0101.8k.out	8000	3.851
g729char/exp1/original/d/d_m02s01.8k.wav	g729char/exp1/coded/d/de1m2d01.8k.out	8000	3.868
g729char/exp1/original/d/d_f01s02.8k.wav	g729char/exp1/coded/d/de1f5a02.8k.out	8000	3.338
g729char/exp1/original/d/d_f02s02.8k.wav	g729char/exp1/coded/d/de1f8602.8k.out	8000	3.029
