REFERENCE	 DEGRADED	Fsample	 P.862.2_SCORE
g729char\exp1\original\d\d_f01s03.wav	 g729char\exp1\coded\d\de1f5b03.out	16000	2.045
g729char\exp1\original\d\d_f02s03.wav	 g729char\exp1\coded\d\de1f8703.out	16000	1.991
g729char\exp1\original\d\d_m01s03.wav	 g729char\exp1\coded\d\de1m0303.out	16000	2.138
g729char\exp1\original\d\d_m02s03.wav	 g729char\exp1\coded\d\de1m2f03.out	16000	2.23
g729char\exp1\original\d\d_f01s04.wav	 g729char\exp1\coded\d\de1f5c04.out	16000	2.794
g729char\exp1\original\d\d_f02s04.wav	 g729char\exp1\coded\d\de1f8804.out	16000	3.091
g729char\exp1\original\d\d_m01s04.wav	 g729char\exp1\coded\d\de1m0404.out	16000	3.313
g729char\exp1\original\d\d_m02s04.wav	 g729char\exp1\coded\d\de1m3004.out	16000	3.291
g729char\exp1\original\d\d_f01s05.wav	 g729char\exp1\coded\d\de1f5d05.out	16000	2.772
g729char\exp1\original\d\d_f02s05.wav	 g729char\exp1\coded\d\de1f8905.out	16000	2.548
g729char\exp1\original\d\d_m01s05.wav	 g729char\exp1\coded\d\de1m0505.out	16000	2.826
g729char\exp1\original\d\d_m02s05.wav	 g729char\exp1\coded\d\de1m3105.out	16000	2.531
g729char\exp1\original\d\d_f01s06.wav	 g729char\exp1\coded\d\de1f5e06.out	16000	2.67
g729char\exp1\original\d\d_f02s06.wav	 g729char\exp1\coded\d\de1f8a06.out	16000	1.969
g729char\exp1\original\d\d_m01s06.wav	 g729char\exp1\coded\d\de1m0606.out	16000	3.009
g729char\exp1\original\d\d_m02s06.wav	 g729char\exp1\coded\d\de1m3206.out	16000	3.056
g729char\exp1\original\d\d_f01s07.wav	 g729char\exp1\coded\d\de1f5f07.out	16000	3.433
g729char\exp1\original\d\d_f02s07.wav	 g729char\exp1\coded\d\de1f8b07.out	16000	3.826
g729char\exp1\original\d\d_m01s07.wav	 g729char\exp1\coded\d\de1m0707.out	16000	3.776
